makespan,loadBalance,flowtime,communicationCost,waitingTime
217.0,1.093198992,5233.0,329.0,1083.0
248.0,1.018480493,5927.0,381.0,1399.0
209.0,1.080103359,5205.0,247.0,928.0
206.0,1.0,5469.0,308.0,869.0
228.0,1.053117783,5353.0,354.0,773.0
277.0,1.057251908,6714.0,373.0,1467.0
255.0,1.034482759,5472.0,321.0,767.0
189.0,1.05,4732.0,276.0,969.0
245.0,1.035940803,5758.0,333.0,1435.0
217.0,1.098734177,5345.0,342.0,1113.0
219.0,1.00228833,4953.0,327.0,951.0
214.0,1.031325301,4859.0,297.0,587.0
224.0,1.084745763,5501.0,336.0,819.0
238.0,1.019271949,6075.0,309.0,1336.0
205.0,1.037974684,4811.0,331.0,796.0
211.0,1.014423077,5227.0,312.0,1220.0
216.0,1.074626866,4927.0,332.0,1255.0
219.0,1.016241299,5096.0,326.0,1291.0
214.0,1.033816425,4888.0,326.0,1261.0
295.0,1.027874564,6463.0,377.0,987.0
252.0,1.030674847,6134.0,344.0,1074.0
183.0,1.025210084,4164.0,302.0,859.0
212.0,1.062656642,5357.0,359.0,1461.0
236.0,1.058295964,5458.0,326.0,1018.0
217.0,1.048309179,4801.0,384.0,627.0
211.0,1.029268293,4866.0,273.0,981.0
222.0,1.020689655,5929.0,337.0,1233.0
224.0,1.020501139,5107.0,334.0,1086.0
253.0,1.045454545,6796.0,358.0,1586.0
258.0,1.068322981,5811.0,333.0,1441.0
253.0,1.043298969,5189.0,330.0,974.0
247.0,1.033472803,5843.0,331.0,1198.0
214.0,1.051597052,5048.0,321.0,837.0
233.0,1.019693654,5556.0,284.0,1239.0
239.0,1.004201681,5437.0,326.0,1198.0
217.0,1.118556701,5460.0,343.0,1068.0
238.0,1.04845815,5229.0,322.0,1061.0
206.0,1.024875622,5327.0,284.0,1131.0
256.0,1.034343434,5959.0,351.0,1017.0
264.0,1.060240964,5962.0,371.0,1355.0
200.0,1.020408163,4731.0,313.0,1193.0
197.0,1.064864865,4625.0,337.0,941.0
262.0,1.015503876,5965.0,383.0,1392.0
253.0,1.02016129,5994.0,300.0,915.0
250.0,1.077586207,6055.0,306.0,1170.0
244.0,1.018789144,6030.0,336.0,1365.0
240.0,1.043478261,5961.0,283.0,951.0
215.0,1.021377672,6028.0,178.0,1515.0
206.0,1.022332506,4845.0,337.0,997.0
223.0,1.020594966,4937.0,359.0,900.0
216.0,1.023696682,5199.0,309.0,1037.0
253.0,1.032653061,6759.0,331.0,1666.0
218.0,1.043062201,5229.0,333.0,858.0
188.0,1.065155807,4355.0,379.0,907.0
247.0,1.042194093,5683.0,345.0,1022.0
243.0,1.038461538,5403.0,354.0,992.0
232.0,1.031111111,5634.0,314.0,1244.0
219.0,1.030588235,5568.0,343.0,1199.0
217.0,1.018779343,5332.0,293.0,917.0
