makespan,loadBalance,flowtime,communicationCost,waitingTime
25.0,1.171875,124.0,36.0,38.0
23.0,1.4375,106.0,29.0,28.0
28.0,1.4,135.0,30.0,30.0
24.0,1.285714286,104.0,19.0,24.0
29.0,1.318181818,146.0,26.0,47.0
32.0,1.6,139.0,35.0,47.0
25.0,1.5,134.0,25.0,35.0
20.0,1.276595745,94.0,29.0,15.0
29.0,1.359375,123.0,21.0,27.0
30.0,1.525423729,139.0,30.0,28.0
30.0,1.698113208,123.0,31.0,33.0
34.0,1.2,150.0,33.0,43.0
26.0,1.5,129.0,15.0,24.0
23.0,2.029411765,113.0,16.0,19.0
22.0,1.466666667,101.0,15.0,24.0
31.0,1.524590164,135.0,30.0,49.0
25.0,1.293103448,106.0,21.0,25.0
27.0,1.265625,119.0,34.0,25.0
29.0,1.242857143,134.0,27.0,27.0
33.0,1.434782609,158.0,20.0,53.0
26.0,1.695652174,111.0,19.0,27.0
28.0,1.253731343,135.0,26.0,40.0
25.0,1.25,110.0,28.0,29.0
28.0,1.37704918,145.0,16.0,34.0
29.0,1.242857143,150.0,31.0,33.0
26.0,1.098591549,146.0,35.0,54.0
30.0,1.875,119.0,24.0,43.0
24.0,1.674418605,106.0,20.0,28.0
27.0,1.472727273,110.0,26.0,29.0
21.0,1.431818182,92.0,15.0,14.0
26.0,1.322033898,113.0,29.0,21.0
23.0,1.277777778,97.0,33.0,23.0
28.0,1.166666667,134.0,25.0,39.0
29.0,1.242857143,121.0,19.0,24.0
30.0,1.285714286,132.0,36.0,42.0
25.0,1.19047619,139.0,31.0,40.0
26.0,1.625,149.0,25.0,48.0
21.0,1.536585366,100.0,23.0,17.0
26.0,1.529411765,111.0,26.0,32.0
23.0,1.232142857,103.0,26.0,20.0
22.0,1.534883721,112.0,11.0,18.0
19.0,1.325581395,95.0,11.0,16.0
26.0,1.322033898,115.0,16.0,23.0
30.0,1.267605634,136.0,32.0,29.0
29.0,1.526315789,123.0,26.0,33.0
24.0,1.531914894,106.0,15.0,27.0
29.0,1.279411765,130.0,31.0,39.0
32.0,1.684210526,132.0,18.0,46.0
25.0,1.25,136.0,21.0,33.0
30.0,1.428571429,120.0,22.0,39.0
33.0,1.596774194,143.0,25.0,36.0
25.0,1.293103448,117.0,27.0,28.0
28.0,1.166666667,135.0,30.0,40.0
28.0,1.473684211,117.0,27.0,30.0
23.0,1.5,106.0,15.0,20.0
23.0,1.189655172,113.0,27.0,32.0
24.0,1.220338983,135.0,16.0,38.0
20.0,1.363636364,101.0,21.0,24.0
27.0,1.396551724,107.0,25.0,21.0
23.0,1.326923077,120.0,15.0,25.0
22.0,1.346938776,109.0,23.0,22.0
26.0,1.471698113,134.0,24.0,33.0
25.0,1.470588235,121.0,15.0,35.0
26.0,1.471698113,111.0,25.0,28.0
27.0,1.472727273,137.0,30.0,42.0
23.0,1.301886792,105.0,27.0,24.0
23.0,1.301886792,100.0,30.0,19.0
26.0,1.3,111.0,34.0,25.0
21.0,1.465116279,101.0,24.0,15.0
23.0,1.408163265,98.0,20.0,17.0
26.0,1.471698113,126.0,28.0,25.0
30.0,1.451612903,129.0,25.0,45.0
23.0,1.277777778,103.0,28.0,20.0
26.0,1.3,121.0,32.0,37.0
26.0,1.5,110.0,36.0,28.0
24.0,1.384615385,127.0,24.0,29.0
28.0,1.272727273,126.0,32.0,34.0
35.0,1.590909091,155.0,25.0,46.0
26.0,1.258064516,114.0,31.0,35.0
